time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-09T12:23:43.293Z,-15.9763,-177.673,433.84,4.6,mb,,69,1.714,0.91,us,us6000etmc,2021-07-09T12:44:19.040Z,"190 km SSE of Alo, Wallis and Futuna",earthquake,11.4,5.6,0.029,357,reviewed,us,us
2021-07-09T11:40:57.840Z,-6.3366,150.1035,18.72,5.1,mww,,45,2.958,0.93,us,us6000etlq,2021-07-09T12:14:15.685Z,"63 km ESE of Kandrian, Papua New Guinea",earthquake,7.9,4.3,0.098,10,reviewed,us,us
2021-07-09T09:47:30.672Z,-15.9937,-173.1384,10,5,mb,,58,2.452,1.19,us,us6000etkl,2021-07-09T10:08:05.040Z,"70 km E of Hihifo, Tonga",earthquake,8.9,1.8,0.03,351,reviewed,us,us
2021-07-09T09:38:28.032Z,80.1194,0.1268,10,4.5,mb,,83,2.472,0.84,us,us6000etkf,2021-07-09T13:11:51.040Z,"north of Svalbard",earthquake,8.2,1.9,0.072,56,reviewed,us,us
2021-07-09T08:34:51.484Z,8.6424,123.2506,10,4.6,mb,,80,2.786,0.87,us,us6000etk5,2021-07-09T10:19:34.193Z,"12 km NW of Dipolog, Philippines",earthquake,4.4,1.9,0.087,40,reviewed,us,us
2021-07-09T06:34:00.787Z,-29.0171,-69.8141,129.86,4.7,mb,,80,0.776,0.54,us,us6000etip,2021-07-09T17:45:09.979Z,"104 km ESE of Vallenar, Chile",earthquake,7,7.1,0.275,4,reviewed,us,us
2021-07-09T05:23:31.010Z,-57.8767,-26.3779,125.55,4.7,mb,,69,6.705,0.45,us,us6000ethu,2021-07-09T05:44:50.040Z,"South Sandwich Islands region",earthquake,11.4,8.4,0.092,36,reviewed,us,us
2021-07-09T05:05:30.884Z,-20.3375,-68.7552,110.87,5.2,mww,,45,0.421,0.91,us,us6000ethk,2021-07-10T02:57:29.358Z,"146 km E of Iquique, Chile",earthquake,6,4.3,0.052,35,reviewed,us,us
2021-07-09T01:53:33.484Z,-7.2604,126.1619,448.56,4.5,mb,,46,3.107,0.72,us,us6000etfv,2021-07-09T04:15:02.648Z,"138 km NNW of Baukau, Timor Leste",earthquake,4.9,8.3,0.068,63,reviewed,us,us
2021-07-09T01:46:00.400Z,38.5086667,-119.5343333,3.71,4.55,mw,48,88,0.07555,0.1,nc,nc73585291,2021-07-10T21:55:33.990Z,"30km SE of Markleeville, CA",earthquake,0.17,0.38,,5,reviewed,nc,nc
2021-07-09T01:21:28.761Z,-56.2254,-143.217,10,5.4,mb,,121,27.541,1.29,us,us6000etfa,2021-07-10T01:25:24.116Z,"Pacific-Antarctic Ridge",earthquake,7.8,1.9,0.1,34,reviewed,us,us
2021-07-09T00:30:20.248Z,45.3772,150.2185,62.55,4.6,mb,,84,5.416,0.57,us,us6000eteg,2021-07-09T02:10:40.040Z,"184 km E of Kuril’sk, Russia",earthquake,11.8,6.4,0.05,117,reviewed,us,us
2021-07-09T00:26:25.528Z,25.1204,95.2427,89.12,4.6,mb,,147,1.233,0.81,us,us6000etec,2021-07-09T08:17:13.498Z,"96 km SE of Phek, India",earthquake,8.7,8.6,0.098,32,reviewed,us,us
2021-07-08T23:53:10.500Z,-5.0454,150.3843,293.12,4.7,mb,,53,1.966,0.76,us,us6000etds,2021-07-09T00:17:21.040Z,"62 km NNE of Kimbe, Papua New Guinea",earthquake,9.5,6.6,0.049,124,reviewed,us,us
2021-07-08T23:33:40.900Z,38.4796667,-119.5448333,1.58,4.63,mw,38,77,0.08722,0.08,nc,nc73585021,2021-07-10T03:09:17.783Z,"29km ENE of Dardanelle, CA",earthquake,0.12,0.53,,6,reviewed,nc,nc
2021-07-08T22:50:13.811Z,38.5067,-119.5239,10,5.2,mb,,128,0.067,0.14,us,us6000etd9,2021-07-10T13:34:47.495Z,"4 km WSW of Walker, California",earthquake,1.3,1.7,0.149,15,reviewed,us,us
2021-07-08T22:49:48.110Z,38.5075,-119.4998333,7.45,6,mw,42,100,0.04846,0.06,nc,nc73584926,2021-07-10T22:53:33.688Z,"Antelope Valley, CA",earthquake,0.14,0.25,,0,reviewed,nc,nc
2021-07-08T20:38:30.823Z,-28.695,-71.7197,10,5.4,mww,,93,0.749,1.21,us,us6000etaq,2021-07-09T20:42:08.510Z,"94 km W of Vallenar, Chile",earthquake,5,1.8,0.073,18,reviewed,us,us
2021-07-08T20:31:35.930Z,13.0749,-90.0906,26.75,5.4,mww,,134,1.289,1.11,us,us6000etah,2021-07-09T20:35:43.286Z,"63 km SSW of Acajutla, El Salvador",earthquake,7.1,4.9,0.048,41,reviewed,us,us
